2026-04-15 22:00:49,510 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:49,511 | backend | INFO | Received odom for ysc pose=[2.154, -0.8, 0.0, 0.0, 0.0, -0.6331, -0.7741]
2026-04-15 22:00:53,972 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:53,975 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:54,040 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:54,074 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:54,077 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:54,195 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:54,561 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:54,561 | backend | INFO | Received odom for galaxy pose=[1.259, 0.322, 0.0, 0.0, 0.0, 0.1819, 0.9833]
2026-04-15 22:00:54,589 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:54,590 | backend | INFO | Received odom for ysc pose=[2.949, -0.109, 0.0, 0.0, 0.0, -0.9622, -0.2725]
2026-04-15 22:00:58,996 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:58,998 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:59,087 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:59,090 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:59,093 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:59,208 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:59,617 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:59,617 | backend | INFO | Received odom for galaxy pose=[0.847, 0.861, 0.0, 0.0, 0.0, 0.5956, 0.8033]
2026-04-15 22:00:59,636 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:59,636 | backend | INFO | Received odom for ysc pose=[2.249, 0.117, 0.0, 0.0, 0.0, -0.9462, 0.3237]
2026-04-15 22:01:04,043 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:01:04,045 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:01:04,117 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:01:04,139 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:01:04,141 | backend | INFO | Received video frame for piper/side
2026-04-15 22:01:04,251 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:01:04,655 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:01:04,655 | backend | INFO | Received odom for galaxy pose=[-0.501, 0.738, 0.0, 0.0, 0.0, 0.8867, 0.4624]
2026-04-15 22:01:04,658 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:01:04,659 | backend | INFO | Received odom for ysc pose=[1.452, -0.474, 0.0, 0.0, 0.0, -0.596, 0.803]
2026-04-15 22:01:09,098 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:01:09,101 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:01:09,119 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:01:09,146 | backend | INFO | Received video frame for piper/side
2026-04-15 22:01:09,186 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:01:09,309 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:01:09,660 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:01:09,660 | backend | INFO | Received odom for ysc pose=[2.126, -0.948, 0.0, 0.0, 0.0, -0.0385, 0.9993]
2026-04-15 22:01:09,764 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:01:09,764 | backend | INFO | Received odom for galaxy pose=[-1.298, 0.039, 0.0, 0.0, 0.0, 0.9998, 0.0216]
2026-04-15 22:01:14,152 | backend | INFO | Received video frame for piper/side
2026-04-15 22:01:14,167 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:01:14,169 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:01:14,188 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:01:14,220 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:01:14,321 | backend | INFO | Received video frame for galaxy/main
